time,open,high,low,close,volume
2012-08-06 00:00:00+00:00,13164.0,13177.0,13164.0,13174.0,325
2012-08-07 00:00:00+00:00,13115.0,13217.0,13103.0,13164.0,7530
2012-08-08 00:00:00+00:00,13163.0,13203.0,13092.0,13158.0,7768
2012-08-09 00:00:00+00:00,13157.0,13227.0,13125.0,13175.0,7782
2012-08-10 00:00:00+00:00,13178.0,13178.0,13135.0,13141.0,7210
2012-08-13 00:00:00+00:00,13203.0,13221.0,13112.0,13166.0,7093
2012-08-14 00:00:00+00:00,13165.0,13226.0,13143.0,13144.0,7370
2012-08-15 00:00:00+00:00,13143.0,13192.0,13122.0,13160.0,6314
2012-08-16 00:00:00+00:00,13162.0,13271.0,13143.0,13246.0,7015
2012-08-17 00:00:00+00:00,13247.0,13254.0,13236.0,13242.0,5936
2012-08-20 00:00:00+00:00,13273.0,13282.0,13227.0,13257.0,6018
2012-08-21 00:00:00+00:00,13256.0,13331.0,13185.0,13201.0,6729
2012-08-22 00:00:00+00:00,13200.0,13211.0,13119.0,13176.0,7918
2012-08-23 00:00:00+00:00,13175.0,13226.0,13045.0,13063.0,8043
2012-08-24 00:00:00+00:00,13065.0,13070.0,13053.0,13065.0,6491
2012-08-27 00:00:00+00:00,13185.0,13197.0,13117.0,13125.0,5946
2012-08-28 00:00:00+00:00,13126.0,13149.0,13080.0,13112.0,7232
2012-08-29 00:00:00+00:00,13113.0,13146.0,13078.0,13090.0,6190
2012-08-30 00:00:00+00:00,13091.0,13094.0,12976.0,12983.0,6282
2012-08-31 00:00:00+00:00,12986.0,13004.0,12980.0,12996.0,8151
2012-09-03 00:00:00+00:00,13094.0,13115.0,13024.0,13100.0,3843
2012-09-04 00:00:00+00:00,13101.0,13127.0,12975.0,13042.0,7324
2012-09-05 00:00:00+00:00,13040.0,13095.0,12990.0,13052.0,7950
2012-09-06 00:00:00+00:00,13053.0,13295.0,13048.0,13282.0,8103
2012-09-07 00:00:00+00:00,13281.0,13293.0,13277.0,13290.0,7799
2012-09-10 00:00:00+00:00,13290.0,13322.0,13221.0,13235.0,5756
2012-09-11 00:00:00+00:00,13237.0,13354.0,13198.0,13288.0,6355
2012-09-12 00:00:00+00:00,13289.0,13378.0,13286.0,13354.0,8264
2012-09-13 00:00:00+00:00,13353.0,13575.0,13325.0,13538.0,8767
2012-09-14 00:00:00+00:00,13539.0,13554.0,13536.0,13547.0,7058
2012-09-17 00:00:00+00:00,13569.0,13590.0,13527.0,13548.0,5170
2012-09-18 00:00:00+00:00,13549.0,13583.0,13499.0,13576.0,4859
2012-09-19 00:00:00+00:00,13577.0,13630.0,13553.0,13572.0,5169
2012-09-20 00:00:00+00:00,13571.0,13604.0,13498.0,13595.0,7311
2012-09-21 00:00:00+00:00,13594.0,13629.0,13594.0,13624.0,7329
2012-09-24 00:00:00+00:00,13574.0,13604.0,13509.0,13569.0,6901
2012-09-25 00:00:00+00:00,13570.0,13621.0,13460.0,13478.0,7362
2012-09-26 00:00:00+00:00,13479.0,13498.0,13406.0,13436.0,7183
2012-09-27 00:00:00+00:00,13438.0,13525.0,13416.0,13495.0,7720
2012-09-28 00:00:00+00:00,13494.0,13501.0,13478.0,13491.0,8348
2012-10-01 00:00:00+00:00,13409.0,13597.0,13384.0,13503.0,8886
2012-10-02 00:00:00+00:00,13504.0,13567.0,13418.0,13470.0,8629
2012-10-03 00:00:00+00:00,13469.0,13537.0,13429.0,13525.0,8021
2012-10-04 00:00:00+00:00,13524.0,13598.0,13501.0,13568.0,8411
2012-10-05 00:00:00+00:00,13569.0,13582.0,13565.0,13576.0,7479
2012-10-08 00:00:00+00:00,13589.0,13605.0,13540.0,13566.0,6997
2012-10-09 00:00:00+00:00,13567.0,13609.0,13455.0,13456.0,8700
2012-10-10 00:00:00+00:00,13457.0,13481.0,13292.0,13301.0,8781
2012-10-11 00:00:00+00:00,13300.0,13428.0,13299.0,13343.0,7253
2012-10-12 00:00:00+00:00,13344.0,13401.0,13294.0,13312.0,7943
2012-10-15 00:00:00+00:00,13288.0,13436.0,13280.0,13429.0,7558
2012-10-16 00:00:00+00:00,13428.0,13555.0,13411.0,13519.0,7334
2012-10-17 00:00:00+00:00,13518.0,13562.0,13493.0,13542.0,7528
2012-10-18 00:00:00+00:00,13543.0,13590.0,13512.0,13543.0,7903
2012-10-19 00:00:00+00:00,13544.0,13556.0,13538.0,13540.0,8304
2012-10-22 00:00:00+00:00,13314.0,13368.0,13233.0,13359.0,8551
2012-10-23 00:00:00+00:00,13358.0,13372.0,13080.0,13109.0,9757
2012-10-24 00:00:00+00:00,13108.0,13154.0,13060.0,13085.0,9120
2012-10-25 00:00:00+00:00,13083.0,13160.0,13034.0,13095.0,9937
2012-10-26 00:00:00+00:00,13096.0,13097.0,13060.0,13061.0,10246
2012-10-29 00:00:00+00:00,13078.0,13103.0,13010.0,13016.0,4144
2012-10-30 00:00:00+00:00,13017.0,13140.0,12989.0,13123.0,4411
2012-10-31 00:00:00+00:00,13124.0,13186.0,13044.0,13060.0,9072
2012-11-01 00:00:00+00:00,13061.0,13275.0,13030.0,13225.0,8346
2012-11-02 00:00:00+00:00,13226.0,13235.0,13219.0,13221.0,8497
2012-11-05 00:00:00+00:00,13045.0,13140.0,13036.0,13106.0,7051
2012-11-06 00:00:00+00:00,13107.0,13293.0,13098.0,13233.0,7025
2012-11-07 00:00:00+00:00,13232.0,13299.0,12875.0,12948.0,13536
2012-11-08 00:00:00+00:00,12947.0,12981.0,12808.0,12835.0,10684
2012-11-09 00:00:00+00:00,12834.0,12866.0,12824.0,12852.0,10362
2012-11-12 00:00:00+00:00,12804.0,12864.0,12781.0,12804.0,7702
2012-11-13 00:00:00+00:00,12805.0,12900.0,12727.0,12766.0,10276
2012-11-14 00:00:00+00:00,12765.0,12834.0,12544.0,12579.0,10375
2012-11-15 00:00:00+00:00,12580.0,12612.0,12499.0,12541.0,10434
2012-11-16 00:00:00+00:00,12540.0,12541.0,12522.0,12538.0,10963
2012-11-19 00:00:00+00:00,12639.0,12794.0,12615.0,12754.0,8444
2012-11-20 00:00:00+00:00,12755.0,12808.0,12699.0,12783.0,9121
