t,tick_count,spread_mean,spread_max,hf_realized_vol,tick_imbalance
2025-07-15 12:00:00+00:00,1245,0.15652208835342746,0.20000000000027285,0.0009435111056271653,0.07642799678197908
2025-07-15 13:00:00+00:00,3121,0.1633611022108272,0.20000000000027285,0.0015093855178418367,0.029543994861913937
2025-07-15 14:00:00+00:00,3586,0.16349135527049505,0.20000000000027285,0.001957164872902129,-0.022594142259414227
2025-07-15 15:00:00+00:00,4402,0.1641980917764631,1.4299999999998363,0.0033623403860900854,-0.021160409556313993
2025-07-15 16:00:00+00:00,5018,0.159404145077722,0.1999999999998181,0.0029854190589953277,-0.012163509471585244
2025-07-15 17:00:00+00:00,4385,0.15591562143671764,0.20000000000027285,0.002289037160842543,-0.008902077151335312
2025-07-15 18:00:00+00:00,4589,0.15991283504031797,0.20000000000027285,0.0025670398059354517,-0.03379114889906257
2025-07-15 19:00:00+00:00,4126,0.15552108579737922,0.20000000000027285,0.0018870586959019906,0.007281553398058253
2025-07-15 20:00:00+00:00,3561,0.15956472900870441,0.1999999999998181,0.001170851979468005,-0.009615384615384616
2025-07-15 21:00:00+00:00,3339,0.15230008984725932,0.20000000000027285,0.0010578836766551563,0.02497743003310262
2025-07-15 22:00:00+00:00,3084,0.15768482490272276,0.20000000000027285,0.000991956336580892,0.0
2025-07-15 23:00:00+00:00,1485,0.18184511784512059,0.40000000000009095,0.0009535749205021353,-0.04177897574123989
2025-07-16 01:00:00+00:00,1515,0.15513531353135987,0.34999999999990905,0.0009259829580791922,-0.041005291005291
2025-07-16 02:00:00+00:00,1908,0.15622641509433957,0.19000000000005457,0.0008417003574085024,-0.007874015748031496
2025-07-16 03:00:00+00:00,2923,0.15755046185426522,0.20000000000027285,0.0012215469526809088,0.002053388090349076
2025-07-16 04:00:00+00:00,3795,0.15883794466402862,0.20000000000027285,0.0014800690169674373,-0.02929532858273951
2025-07-16 05:00:00+00:00,3278,0.16139109212934355,0.20000000000027285,0.0011931686765339882,-0.04183206106870229
2025-07-16 06:00:00+00:00,3268,0.16327723378212144,0.20000000000027285,0.0014060783857310132,0.02664624808575804
2025-07-16 07:00:00+00:00,2648,0.16157099697885546,0.19000000000005457,0.0010219581076247994,0.006802721088435374
2025-07-16 08:00:00+00:00,3006,0.15915834996672695,0.1999999999998181,0.0010914484457188237,0.041625041625041624
2025-07-16 09:00:00+00:00,3483,0.15920757967269894,0.20000000000027285,0.0013144331056191305,0.01178499568841621
2025-07-16 10:00:00+00:00,3227,0.15779361636193984,0.20000000000027285,0.0013004062070972578,0.000310077519379845
2025-07-16 11:00:00+00:00,3277,0.16688434543789749,0.20000000000027285,0.0012258690492968146,0.026597370834607153
2025-07-16 12:00:00+00:00,3306,0.15942831215970624,0.20000000000027285,0.0013315840023903787,0.017884207335556228
2025-07-16 13:00:00+00:00,3192,0.1599310776942363,0.20000000000027285,0.0014085627667612926,-0.013483850736908122
2025-07-16 14:00:00+00:00,3656,0.16110776805251933,0.20000000000027285,0.0016633341868472144,0.00958641468090934
2025-07-16 15:00:00+00:00,4551,0.1602966381015206,0.20000000000027285,0.0026180323608561086,-0.025719938448010553
2025-07-16 16:00:00+00:00,4984,0.15770666131621083,0.20000000000027285,0.0023826717495781195,-0.009443439823186659
2025-07-16 17:00:00+00:00,5496,0.15837882096069658,0.20000000000027285,0.0032834516088305777,-0.009652158076853032
2025-07-16 18:00:00+00:00,6518,0.16010739490641446,0.7800000000002001,0.00746594135670827,0.025318398035906093
2025-07-16 19:00:00+00:00,5157,0.1577137870855178,0.1999999999998181,0.0035076942681698977,-0.00019398642095053346
2025-07-16 20:00:00+00:00,4066,0.16377520905066043,0.20000000000027285,0.001690352802825002,-0.002461841457410143
2025-07-16 21:00:00+00:00,3563,0.16380578164468346,0.20000000000027285,0.0012349430547142727,-0.07419898819561552
2025-07-16 22:00:00+00:00,3856,0.16252852697095943,0.1999999999998181,0.0012346272262100065,-0.05353430353430354
2025-07-16 23:00:00+00:00,1818,0.1661936193619336,0.18000000000029104,0.0008756455299580849,-0.00825536598789213
2025-07-17 01:00:00+00:00,1633,0.15871402327004833,0.5,0.0015288229896055798,-0.027624309392265192
2025-07-17 02:00:00+00:00,1934,0.1558221302998889,0.30999999999994543,0.0007702288453174175,-0.043523316062176166
2025-07-17 03:00:00+00:00,3254,0.16490780577750436,0.20000000000027285,0.0012745210830240653,-0.01818181818181818
2025-07-17 04:00:00+00:00,4000,0.16202750000000207,0.20000000000027285,0.0015072901066168817,-0.0025025025025025025
2025-07-17 05:00:00+00:00,3238,0.16166769610870263,0.20000000000027285,0.0011894143286872965,0.008346213292117466
2025-07-17 06:00:00+00:00,3038,0.15753456221198955,0.20000000000027285,0.0011068837856365121,-0.005270092226613966
2025-07-17 07:00:00+00:00,2494,0.15846030473135372,0.19000000000005457,0.000958007450248146,-0.024899598393574297
2025-07-17 08:00:00+00:00,3266,0.16052969993876232,0.20000000000027285,0.0011727786797670057,-0.05117989580140975
2025-07-17 09:00:00+00:00,4590,0.1604901960784292,0.20000000000027285,0.0018561492504168423,0.0008729812309035355
2025-07-17 10:00:00+00:00,4105,0.1603239951278986,0.20000000000027285,0.0017304303490802764,-0.02464015613564284
2025-07-17 11:00:00+00:00,3604,0.15746115427303356,0.1999999999998181,0.0012818554900945465,0.02861906085023618
2025-07-17 12:00:00+00:00,3787,0.15834433588591978,0.1999999999998181,0.001252577982219254,-0.0010587612493382743
2025-07-17 13:00:00+00:00,3813,0.15988198269079062,0.1999999999998181,0.0013017176041924844,-0.004988185875557889
2025-07-17 14:00:00+00:00,3748,0.15847652081109373,0.20000000000027285,0.001817386700595091,-0.040320427236315085
2025-07-17 15:00:00+00:00,5384,0.15908246656760672,0.20000000000027285,0.0034943967639911597,-0.02399107308908313
2025-07-17 16:00:00+00:00,5656,0.1579066478076375,0.20000000000027285,0.0029525432467153957,-0.0037148416769856715
2025-07-17 17:00:00+00:00,5557,0.1584236098614309,0.20000000000027285,0.0019477211596469742,0.02648171500630517
2025-07-17 18:00:00+00:00,4842,0.16289756299049407,0.1999999999998181,0.001608394836352141,0.006622516556291391
2025-07-17 19:00:00+00:00,4125,0.15920242424242767,0.20000000000027285,0.0011694802085136546,0.03233649404327741
2025-07-17 20:00:00+00:00,3673,0.1655377075959742,0.20000000000027285,0.0012025275310770262,-0.01691216584833606
2025-07-17 21:00:00+00:00,3347,0.16013444876009053,0.20000000000027285,0.0008711585286331519,-0.0014956625785222854
