time,open,high,low,close
2018-01-02 00:00:00+00:00,112.503,112.784,112.503,112.713
2018-01-02 04:00:00+00:00,112.712,112.746,112.66,112.685
2018-01-02 08:00:00+00:00,112.686,112.699,112.245,112.252
2018-01-02 12:00:00+00:00,112.252,112.281,112.083,112.124
2018-01-02 16:00:00+00:00,112.123,112.303,112.055,112.283
2018-01-02 20:00:00+00:00,112.283,112.352,112.241,112.268
2018-01-03 00:00:00+00:00,112.268,112.362,112.17,112.318
2018-01-03 04:00:00+00:00,112.318,112.394,112.262,112.279
2018-01-03 08:00:00+00:00,112.277,112.391,112.235,112.298
2018-01-03 12:00:00+00:00,112.297,112.326,112.194,112.226
2018-01-03 16:00:00+00:00,112.227,112.498,112.189,112.33
2018-01-03 20:00:00+00:00,112.331,112.607,112.297,112.504
2018-01-04 00:00:00+00:00,112.503,112.776,112.464,112.728
2018-01-04 04:00:00+00:00,112.727,112.729,112.616,112.659
2018-01-04 08:00:00+00:00,112.66,112.671,112.487,112.544
2018-01-04 12:00:00+00:00,112.545,112.846,112.527,112.827
2018-01-04 16:00:00+00:00,112.828,112.863,112.748,112.764
2018-01-04 20:00:00+00:00,112.764,112.838,112.708,112.728
2018-01-05 00:00:00+00:00,112.732,112.804,112.719,112.771
2018-01-05 04:00:00+00:00,112.772,113.0,112.722,112.996
2018-01-05 08:00:00+00:00,112.996,113.238,112.98,113.225
2018-01-05 12:00:00+00:00,113.224,113.303,113.011,113.212
2018-01-05 16:00:00+00:00,113.21,113.275,113.081,113.159
2018-01-05 20:00:00+00:00,113.157,113.19,113.035,113.062
2018-01-08 00:00:00+00:00,113.137,113.179,113.008,113.129
2018-01-08 04:00:00+00:00,113.13,113.272,113.111,113.228
2018-01-08 08:00:00+00:00,113.229,113.386,113.116,113.159
2018-01-08 12:00:00+00:00,113.158,113.166,112.88,112.927
2018-01-08 16:00:00+00:00,112.928,113.124,112.901,113.082
2018-01-08 20:00:00+00:00,113.083,113.124,113.022,113.079
2018-01-09 00:00:00+00:00,113.08,113.178,112.589,112.66
2018-01-09 04:00:00+00:00,112.661,112.701,112.496,112.698
2018-01-09 08:00:00+00:00,112.697,112.966,112.637,112.874
2018-01-09 12:00:00+00:00,112.873,112.893,112.495,112.632
2018-01-09 16:00:00+00:00,112.632,112.778,112.365,112.581
2018-01-09 20:00:00+00:00,112.581,112.688,112.52,112.631
2018-01-10 00:00:00+00:00,112.631,112.783,112.167,112.174
2018-01-10 04:00:00+00:00,112.175,112.358,112.175,112.358
2018-01-10 08:00:00+00:00,112.357,112.379,111.716,111.758
2018-01-10 12:00:00+00:00,111.759,111.882,111.269,111.578
2018-01-10 16:00:00+00:00,111.577,111.646,111.292,111.487
2018-01-10 20:00:00+00:00,111.485,111.502,111.286,111.425
2018-01-11 00:00:00+00:00,111.428,111.628,111.315,111.601
2018-01-11 04:00:00+00:00,111.602,111.823,111.5,111.81
2018-01-11 08:00:00+00:00,111.811,111.874,111.574,111.621
2018-01-11 12:00:00+00:00,111.621,111.77,111.393,111.535
2018-01-11 16:00:00+00:00,111.538,111.561,111.318,111.345
2018-01-11 20:00:00+00:00,111.345,111.349,111.043,111.241
2018-01-12 00:00:00+00:00,111.241,111.347,111.059,111.328
2018-01-12 04:00:00+00:00,111.328,111.342,111.179,111.244
2018-01-12 08:00:00+00:00,111.244,111.435,110.997,111.107
2018-01-12 12:00:00+00:00,111.108,111.676,110.968,111.633
2018-01-12 16:00:00+00:00,111.634,111.694,111.152,111.233
2018-01-12 20:00:00+00:00,111.237,111.237,110.912,111.053
2018-01-15 00:00:00+00:00,111.07,111.184,110.648,110.736
2018-01-15 04:00:00+00:00,110.736,110.807,110.576,110.701
2018-01-15 08:00:00+00:00,110.702,110.898,110.522,110.556
2018-01-15 12:00:00+00:00,110.557,110.721,110.537,110.548
2018-01-15 16:00:00+00:00,110.549,110.703,110.34,110.428
2018-01-15 20:00:00+00:00,110.429,110.561,110.327,110.517
2018-01-16 00:00:00+00:00,110.517,110.938,110.472,110.796
2018-01-16 04:00:00+00:00,110.796,110.982,110.795,110.853
2018-01-16 08:00:00+00:00,110.854,110.923,110.604,110.665
