time,open,high,low,close
2018-01-02 00:00:00+00:00,0.97429,0.97472,0.97277,0.97416
2018-01-02 04:00:00+00:00,0.97417,0.97468,0.97305,0.97361
2018-01-02 08:00:00+00:00,0.97361,0.97394,0.97134,0.97137
2018-01-02 12:00:00+00:00,0.97138,0.972,0.96994,0.97169
2018-01-02 16:00:00+00:00,0.97168,0.97303,0.97093,0.97244
2018-01-02 20:00:00+00:00,0.97244,0.9726,0.97151,0.97155
2018-01-03 00:00:00+00:00,0.97145,0.97249,0.97091,0.97202
2018-01-03 04:00:00+00:00,0.97203,0.97258,0.97159,0.9717
2018-01-03 08:00:00+00:00,0.9717,0.97306,0.97141,0.97255
2018-01-03 12:00:00+00:00,0.97255,0.9767,0.97237,0.9762
2018-01-03 16:00:00+00:00,0.9762,0.97976,0.97584,0.97653
2018-01-03 20:00:00+00:00,0.97654,0.97852,0.97592,0.97659
2018-01-04 00:00:00+00:00,0.97659,0.97802,0.97659,0.97791
2018-01-04 04:00:00+00:00,0.97792,0.97793,0.97723,0.97766
2018-01-04 08:00:00+00:00,0.97764,0.9777,0.97594,0.97624
2018-01-04 12:00:00+00:00,0.97625,0.97637,0.97438,0.97541
2018-01-04 16:00:00+00:00,0.9754,0.97588,0.97367,0.97426
2018-01-04 20:00:00+00:00,0.97425,0.97525,0.97319,0.97326
2018-01-05 00:00:00+00:00,0.97326,0.97488,0.97324,0.97436
2018-01-05 04:00:00+00:00,0.97437,0.97466,0.97418,0.97455
2018-01-05 08:00:00+00:00,0.97455,0.97726,0.97433,0.97708
2018-01-05 12:00:00+00:00,0.97713,0.97722,0.97398,0.97548
2018-01-05 16:00:00+00:00,0.97546,0.97845,0.97464,0.97565
2018-01-05 20:00:00+00:00,0.97564,0.97585,0.97437,0.97462
2018-01-08 00:00:00+00:00,0.97501,0.97529,0.97394,0.97505
2018-01-08 04:00:00+00:00,0.97502,0.97625,0.9748,0.97581
2018-01-08 08:00:00+00:00,0.97581,0.97842,0.97563,0.97838
2018-01-08 12:00:00+00:00,0.97837,0.97837,0.97673,0.97807
2018-01-08 16:00:00+00:00,0.97808,0.97808,0.97591,0.97641
2018-01-08 20:00:00+00:00,0.97641,0.97783,0.97639,0.9768
2018-01-09 00:00:00+00:00,0.9768,0.97822,0.97497,0.97734
2018-01-09 04:00:00+00:00,0.97734,0.97761,0.97653,0.97758
2018-01-09 08:00:00+00:00,0.97759,0.98276,0.97734,0.98239
2018-01-09 12:00:00+00:00,0.98236,0.98413,0.98164,0.98311
2018-01-09 16:00:00+00:00,0.98309,0.98417,0.98232,0.98331
2018-01-09 20:00:00+00:00,0.98328,0.9839,0.98219,0.98219
2018-01-10 00:00:00+00:00,0.98219,0.98421,0.98201,0.98327
2018-01-10 04:00:00+00:00,0.98328,0.98408,0.98281,0.98408
2018-01-10 08:00:00+00:00,0.98408,0.98452,0.98165,0.9824
2018-01-10 12:00:00+00:00,0.98238,0.98248,0.97539,0.9776
2018-01-10 16:00:00+00:00,0.97759,0.97869,0.97559,0.97859
2018-01-10 20:00:00+00:00,0.97858,0.97941,0.97732,0.97816
2018-01-11 00:00:00+00:00,0.97783,0.97869,0.97597,0.9781
2018-01-11 04:00:00+00:00,0.97811,0.9798,0.97771,0.97884
2018-01-11 08:00:00+00:00,0.97885,0.98159,0.9788,0.97939
2018-01-11 12:00:00+00:00,0.97941,0.9799,0.97499,0.97505
2018-01-11 16:00:00+00:00,0.97506,0.97606,0.9732,0.97548
2018-01-11 20:00:00+00:00,0.97549,0.97652,0.97487,0.97555
2018-01-12 00:00:00+00:00,0.97555,0.9762,0.97407,0.97613
2018-01-12 04:00:00+00:00,0.97612,0.97704,0.97524,0.97686
2018-01-12 08:00:00+00:00,0.97685,0.97693,0.97052,0.97166
2018-01-12 12:00:00+00:00,0.97167,0.97377,0.97,0.97249
2018-01-12 16:00:00+00:00,0.97251,0.97304,0.96973,0.97151
2018-01-12 20:00:00+00:00,0.97148,0.97152,0.96653,0.96726
2018-01-15 00:00:00+00:00,0.9678,0.96848,0.96684,0.96723
2018-01-15 04:00:00+00:00,0.96722,0.96736,0.96526,0.96651
2018-01-15 08:00:00+00:00,0.96652,0.96744,0.96198,0.96243
2018-01-15 12:00:00+00:00,0.96243,0.96264,0.96033,0.96044
2018-01-15 16:00:00+00:00,0.96046,0.96426,0.96028,0.96234
2018-01-15 20:00:00+00:00,0.96235,0.96317,0.96218,0.96273
2018-01-16 00:00:00+00:00,0.96273,0.96459,0.96257,0.96316
2018-01-16 04:00:00+00:00,0.96317,0.96402,0.96269,0.96384
2018-01-16 08:00:00+00:00,0.96384,0.9654,0.96245,0.96493
2018-01-16 12:00:00+00:00,0.96493,0.96614,0.96359,0.96494
2018-01-16 16:00:00+00:00,0.96495,0.96654,0.96165,0.96274
