time,open,high,low,close,volume
2019-01-02 00:00:00+00:00,23337.5,23337.5,23337.5,23337.5,1
2019-01-02 08:00:00+00:00,23065.0,23126.5,23058.0,23092.0,2458
2019-01-02 09:00:00+00:00,23092.0,23116.5,23036.0,23042.5,3313
2019-01-02 10:00:00+00:00,23042.5,23044.5,22816.0,22867.0,7469
2019-01-02 11:00:00+00:00,22868.0,22962.0,22857.5,22955.5,4714
2019-01-02 12:00:00+00:00,22955.5,22980.5,22904.5,22929.0,3744
2019-01-02 13:00:00+00:00,22929.0,22990.5,22908.0,22965.5,3704
2019-01-02 14:00:00+00:00,22965.5,23047.0,22960.5,22961.0,3497
2019-01-02 15:00:00+00:00,22961.0,22981.5,22889.0,22923.0,4078
2019-01-02 16:00:00+00:00,22922.5,23088.5,22918.5,23065.0,9084
2019-01-02 17:00:00+00:00,23065.0,23249.0,23007.5,23216.0,11587
2019-01-02 18:00:00+00:00,23215.5,23346.0,23192.0,23207.5,10089
2019-01-02 19:00:00+00:00,23207.5,23343.5,23190.5,23326.5,7107
2019-01-02 20:00:00+00:00,23326.5,23416.5,23326.5,23411.0,6925
2019-01-02 21:00:00+00:00,23411.0,23414.0,23248.0,23267.5,8013
2019-01-02 22:00:00+00:00,23266.5,23367.5,23182.0,23347.0,10433
2019-01-02 23:00:00+00:00,23347.0,23365.0,23127.5,23152.0,3829
2019-01-03 01:00:00+00:00,23044.5,23080.0,22954.5,22980.0,3746
2019-01-03 02:00:00+00:00,22980.5,23032.5,22980.5,23001.0,2191
2019-01-03 03:00:00+00:00,23001.0,23084.5,22987.5,23081.0,2774
2019-01-03 04:00:00+00:00,23081.5,23101.0,23028.0,23032.5,2322
2019-01-03 05:00:00+00:00,23032.5,23042.0,23004.0,23034.0,1895
2019-01-03 06:00:00+00:00,23034.0,23046.5,23003.0,23022.5,1412
2019-01-03 07:00:00+00:00,23023.0,23029.5,22950.5,22980.5,2100
2019-01-03 08:00:00+00:00,22980.5,22988.5,22897.5,22971.5,2100
2019-01-03 09:00:00+00:00,22971.5,23046.5,22969.0,23003.0,3258
2019-01-03 10:00:00+00:00,23003.0,23073.5,22981.0,23013.0,4658
2019-01-03 11:00:00+00:00,23013.0,23068.5,22984.0,22985.0,3506
2019-01-03 12:00:00+00:00,22985.0,23017.5,22962.0,22979.0,3692
2019-01-03 13:00:00+00:00,22977.0,23014.0,22937.0,22985.5,3903
2019-01-03 14:00:00+00:00,22985.5,23053.0,22979.0,23053.0,3624
2019-01-03 15:00:00+00:00,23053.0,23125.0,23038.0,23112.0,3995
2019-01-03 16:00:00+00:00,23112.5,23138.0,22951.5,23014.0,8821
2019-01-03 17:00:00+00:00,22988.0,22988.0,22663.5,22774.0,12561
2019-01-03 18:00:00+00:00,22775.0,23022.0,22728.0,22943.5,11599
2019-01-03 19:00:00+00:00,22943.5,22982.5,22859.5,22942.0,9862
2019-01-03 20:00:00+00:00,22937.0,22944.0,22740.0,22766.5,9217
2019-01-03 21:00:00+00:00,22767.0,22896.5,22711.5,22740.0,9165
2019-01-03 22:00:00+00:00,22740.5,22796.0,22634.5,22667.5,9899
2019-01-03 23:00:00+00:00,22667.5,22737.0,22663.0,22708.0,2669
2019-01-04 01:00:00+00:00,22703.0,22748.5,22673.5,22692.5,1692
2019-01-04 02:00:00+00:00,22689.5,22711.0,22584.0,22616.0,4612
2019-01-04 03:00:00+00:00,22616.0,22713.0,22606.5,22680.0,3839
2019-01-04 04:00:00+00:00,22680.0,22744.5,22651.0,22743.5,3587
2019-01-04 05:00:00+00:00,22743.5,22800.5,22742.0,22773.0,3319
2019-01-04 06:00:00+00:00,22772.5,22799.0,22763.5,22789.0,2013
2019-01-04 07:00:00+00:00,22789.0,22829.0,22772.0,22805.0,2377
2019-01-04 08:00:00+00:00,22805.5,22889.0,22803.0,22873.5,2296
2019-01-04 09:00:00+00:00,22874.0,22910.5,22841.5,22889.5,3272
2019-01-04 10:00:00+00:00,22888.0,22932.0,22846.5,22895.5,5119
2019-01-04 11:00:00+00:00,22895.0,22983.5,22872.5,22937.5,4424
2019-01-04 12:00:00+00:00,22937.5,22983.0,22919.5,22974.5,3401
2019-01-04 13:00:00+00:00,22974.5,23007.0,22945.0,22984.0,3164
2019-01-04 14:00:00+00:00,22982.5,22996.0,22942.0,22958.0,3117
2019-01-04 15:00:00+00:00,22958.0,22999.5,22881.5,22959.5,5752
2019-01-04 16:00:00+00:00,22958.5,23150.0,22928.5,23146.5,8752
2019-01-04 17:00:00+00:00,23147.0,23340.5,23040.0,23314.5,12155
2019-01-04 18:00:00+00:00,23314.5,23381.0,23235.5,23324.5,9998
2019-01-04 19:00:00+00:00,23324.0,23484.0,23274.0,23458.5,6874
2019-01-04 20:00:00+00:00,23458.5,23522.5,23398.0,23429.5,6631
2019-01-04 21:00:00+00:00,23429.5,23482.5,23369.5,23386.5,7206
2019-01-04 22:00:00+00:00,23386.5,23461.5,23365.5,23434.5,8565
2019-01-04 23:00:00+00:00,23434.5,23445.0,23393.0,23412.5,2255
2019-01-07 01:00:00+00:00,23473.0,23501.5,23433.0,23497.5,2078
